Timestamp,Symbol,Cmp,%ch5,Lch5,Sl,Target,5dhigh,Rvol,Forwardpe,Pe,Rsi,Sector,Industry,Adx,%chylow,Srs,Ars,Srsy,Arsy,Lc,Low,%chsl,%chslatr,Atr%,%ch3low,Column26
2026-02-05T22:01:40.510,INDSWFTLAB,122.14,10.04,-6.33,106.81,120.01,124.80,3.80,26.10,3.31,63.56,healthcare,pharmaceuticals - indian - bulk drugs & formln,35.30,1.47,-0.005,0.524,-0.005,0.445,5.90,107.09,6.18,-9.42,5.86,7.65,15.99
2026-02-05T22:01:40.510,NESTLEIND,1303.50,0.600,-5.06,1295.43,1369.37,1340.40,5.04,63.03,52.55,50.75,fmcg,food - processing - mnc,21.81,-2.19,0.092,0.092,0.092,0.057,3.85,1283,2.85,-4.99,2.31,5.55,4.74
2026-02-05T22:01:40.510,NORTHARC,256.55,1.23,-16.33,264.84,279.94,275.75,0.816,10.28,13.17,55.05,financials,finance & investments,13.67,-2.27,0.068,0.259,0.068,0.222,5.52,258.14,2.85,-8.13,3.81,5.52,6.04
2026-02-05T22:01:40.510,JKTYRE,536.05,6.89,-4.18,501.79,537.61,555.50,0.805,16.59,27.98,55.37,auto,tyres,24.09,-0.502,0.429,0.444,0.429,0.403,3.71,501.10,3.57,-6.69,3.26,5.10,7.44
2026-02-05T21:23:45.819,INDSWFTLAB,122.14,10.04,-6.33,106.81,120.01,124.8,3.8,26.1,3.31,63.56,healthcare,pharmaceuticals - indian - bulk drugs & formln,35.3,1.47,-0.005,0.524,-0.005,0.445,5.9,107.09,6.18,-9.42,5.86,7.65,15.99
2026-02-05T21:23:45.819,NESTLEIND,1303.5,0.6,-5.06,1295.43,1369.37,1340.4,5.04,63.03,52.55,50.75,fmcg,food - processing - mnc,21.81,-2.19,0.092,0.092,0.092,0.057,3.85,1283.0,2.85,-4.99,2.31,5.55,4.74
2026-02-05T21:23:45.819,NORTHARC,256.55,1.23,-16.33,264.84,279.94,275.75,0.816,10.28,13.17,55.05,financials,finance & investments,13.67,-2.27,0.068,0.259,0.068,0.222,5.52,258.14,2.85,-8.13,3.81,5.52,6.04
2026-02-05T21:23:45.819,JKTYRE,536.05,6.89,-4.18,501.79,537.61,555.5,0.805,16.59,27.98,55.37,auto,tyres,24.09,-0.502,0.429,0.444,0.429,0.403,3.71,501.1,3.57,-6.69,3.26,5.1,7.44
2026-02-05T20:34:42.782,INDSWFTLAB,122.14,10.04,-6.33,106.81,120.01,124.8,3.8,26.1,3.31,63.56,healthcare,pharmaceuticals - indian - bulk drugs & formln,35.3,1.47,-0.005,0.524,-0.005,0.445,5.9,107.09,6.18,-9.42,5.86,7.65,15.99
2026-02-05T20:34:42.782,NESTLEIND,1303.5,0.6,-5.06,1295.43,1369.37,1340.4,5.04,63.03,52.55,50.75,fmcg,food - processing - mnc,21.81,-2.19,0.092,0.092,0.092,0.057,3.85,1283.0,2.85,-4.99,2.31,5.55,4.74
2026-02-05T20:34:42.782,NORTHARC,256.55,1.23,-16.33,264.84,279.94,275.75,0.816,10.28,13.17,55.05,financials,finance & investments,13.67,-2.27,0.068,0.259,0.068,0.222,5.52,258.14,2.85,-8.13,3.81,5.52,6.04
2026-02-05T20:34:42.782,JKTYRE,536.05,6.89,-4.18,501.79,537.61,555.5,0.805,16.59,27.98,55.37,auto,tyres,24.09,-0.502,0.429,0.444,0.429,0.403,3.71,501.1,3.57,-6.69,3.26,5.1,7.44
2026-02-05T19:44:04.962,INDSWFTLAB,122.14,10.04,-6.33,106.81,120.01,124.8,3.8,26.1,3.31,63.56,healthcare,pharmaceuticals - indian - bulk drugs & formln,35.3,1.47,-0.005,0.524,-0.005,0.445,5.9,107.09,6.18,-9.42,5.86,7.65,15.99
2026-02-05T19:44:04.962,NESTLEIND,1303.5,0.6,-5.06,1295.43,1369.37,1340.4,5.04,63.03,52.55,50.75,fmcg,food - processing - mnc,21.81,-2.19,0.092,0.092,0.092,0.057,3.85,1283.0,2.85,-4.99,2.31,5.55,4.74
2026-02-05T19:44:04.962,NORTHARC,256.55,1.23,-16.33,264.84,279.94,275.75,0.816,10.28,13.17,55.05,financials,finance & investments,13.67,-2.27,0.068,0.259,0.068,0.222,5.52,258.14,2.85,-8.13,3.81,5.52,6.04
2026-02-05T19:44:04.962,JKTYRE,536.05,6.89,-4.18,501.79,537.61,555.5,0.805,16.59,27.98,55.37,auto,tyres,24.09,-0.502,0.429,0.444,0.429,0.403,3.71,501.1,3.57,-6.69,3.26,5.1,7.44
2026-02-05T18:56:00.27,INDSWFTLAB,122.14,10.04,-6.33,106.81,120.01,124.8,3.8,26.1,3.31,63.56,healthcare,pharmaceuticals - indian - bulk drugs & formln,35.3,1.47,-0.005,0.524,-0.005,0.445,5.9,107.09,6.18,-9.42,5.86,7.65,15.99
2026-02-05T18:56:00.27,NESTLEIND,1303.5,0.6,-5.06,1295.43,1369.37,1340.4,5.04,63.03,52.55,50.75,fmcg,food - processing - mnc,21.81,-2.19,0.092,0.092,0.092,0.057,3.85,1283.0,2.85,-4.99,2.31,5.55,4.74
2026-02-05T18:56:00.27,NORTHARC,256.55,1.23,-16.33,264.84,279.94,275.75,0.816,10.28,13.17,55.05,financials,finance & investments,13.67,-2.27,0.068,0.259,0.068,0.222,5.52,258.14,2.85,-8.13,3.81,5.52,6.04
2026-02-05T18:56:00.27,JKTYRE,536.05,6.89,-4.18,501.79,537.61,555.5,0.805,16.59,27.98,55.37,auto,tyres,24.09,-0.502,0.429,0.444,0.429,0.403,3.71,501.1,3.57,-6.69,3.26,5.1,7.44
2026-02-05T17:35:12.91,INDSWFTLAB,122.14,10.04,-6.33,106.81,120.01,124.8,3.8,26.1,3.31,63.56,healthcare,pharmaceuticals - indian - bulk drugs & formln,35.3,1.47,-0.005,0.524,-0.005,0.445,5.9,107.09,6.18,-9.42,5.86,7.65,15.99
2026-02-05T17:35:12.91,NESTLEIND,1303.5,0.6,-5.06,1295.43,1369.37,1340.4,5.04,63.03,52.55,50.75,fmcg,food - processing - mnc,21.81,-2.19,0.092,0.092,0.092,0.057,3.85,1283.0,2.85,-4.99,2.31,5.55,4.74
2026-02-05T17:35:12.91,NORTHARC,256.55,1.23,-16.33,264.84,279.94,275.75,0.816,10.28,13.17,55.05,financials,finance & investments,13.67,-2.27,0.068,0.259,0.068,0.222,5.52,258.14,2.85,-8.13,3.81,5.52,6.04
2026-02-05T17:35:12.91,JKTYRE,536.05,6.89,-4.18,501.79,537.61,555.5,0.805,16.59,27.98,55.36,auto,tyres,24.09,-0.502,0.429,0.444,0.429,0.403,3.71,501.1,3.57,-6.69,3.26,5.1,7.44
